mmsi,name,callsign,navstatus,sog,timestamp,latitude,longitude
419000618,Orchid    Star,AVVB,5-Moored,7.2,2020-12-10 14:54:32,18.948625,72.938115
273358330,Arctic,UBLH3,5-Moored,7.0,2020-12-10 18:58:15,43.936667,146.673333
540011500,Ocean Wanderer,FAA8050,5-Moored,7.0,2020-12-10 14:45:20,-18.806143,164.464418
413325290,Tian Feng 609,BCDN6,5-Moored,6.7,2020-12-10 20:50:31,37.674457,119.8668
419179000,M.v.kinship Modesty,VTQI,5-Moored,6.6,2020-12-10 18:19:41,20.298433,71.0001
412423810,Zhe Jiao Ji 863,,5-Moored,6.5,2020-12-10 17:51:45,28.820833,121.8986
412759180,Yuan Yang 09,TSTAISB,5-Moored,6.5,2020-12-10 13:54:14,29.813812,121.513948
572381220,Caribe,T2PC5,5-Moored,6.4,2020-12-10 20:43:45,-7.46925,179.528807
413940058,An Ping 98,0000000,5-Moored,6.3,2020-12-10 16:49:08,31.69886,121.140103
538009013,Balzani,V7A4198,5-Moored,6.3,2020-12-10 16:52:13,18.0224,72.919417
440224037,Changwonbb,,5-Moored,6.3,2020-12-10 20:06:42,36.268992,126.176302
567002530,Tug  Ns601,HSB6581,5-Moored,6.2,2020-12-10 13:58:59,13.051267,100.890267
412477050,Yantiantuo18,BRYZ,5-Moored,6.2,2020-12-10 14:50:28,22.496028,114.451818
413808812,Suyanhuo82606,0000000,5-Moored,6.1,2020-12-10 15:33:14,30.885655,120.607907
566386000,Sea Brillance,9V9176,5-Moored,6.0,2020-12-10 20:52:41,1.224215,103.549687
412358210,Jin Ma 388,,5-Moored,6.0,2020-12-10 13:51:32,27.5605,120.840017
574012379,M/v Hoang Loc 25,HL25,5-Moored,5.9,2020-12-10 20:51:01,12.201515,109.398928
413330370,Bai Chuan,0000000,5-Moored,5.9,2020-12-10 20:53:52,22.133428,114.00232
413796416,Xing Zhou Fa Zhan,,5-Moored,5.8,2020-12-10 19:17:49,32.095917,118.723325
419012341,F>j.nand Ichapur,VTFJ#@B,5-Moored,5.8,2020-12-10 16:24:10,16.05632,73.211445
413841381,Zhen Xing 899,0,5-Moored,5.6,2020-12-10 15:51:53,32.658773,119.697898
413833623,Sheng  Hai 196,YYYY,5-Moored,5.5,2020-12-10 15:43:36,27.358717,120.68175
413505290,Jin Tai 158,BDZN,5-Moored,5.4,2020-12-10 12:21:07,25.011773,119.300963
540011500,Ocean Wanderer,FAA8050,5-Moored,5.4,2020-12-10 17:41:39,-18.77245,164.151263
413827732,Xiangyun1168,1168,5-Moored,5.4,2020-12-10 20:56:40,32.125722,118.757948
419001209,Delfina,AWSN,5-Moored,5.3,2020-12-10 18:56:17,22.502835,69.695587
413826357,Huaiun9779,0000000,5-Moored,5.2,2020-12-10 16:46:03,31.607083,118.3948
533170065,Hub-19,9WLC8,5-Moored,5.2,2020-12-10 13:51:31,10.497432,102.712035
